"date_dt","c_agent","contract","doc","division","frc","nom_g","div_frc","nom_frc","amount"
2025-01-31 13:56:00.000,ЗМЗ ООО,Договор №АТП-П 313/19 от 30.12.19г.,"Реализация (акт, накладная, УПД) 00БП-000059 от 31.01.2025 13:56:52","06 АО ""Златоустовский электрометаллургический завод""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,290003.1
2025-01-31 13:56:00.000,ЗМЗ ООО,Договор №АТП-П 313/19 от 30.12.19г.,"Реализация (акт, накладная, УПД) 00БП-000059 от 31.01.2025 13:56:52","06 АО ""Златоустовский электрометаллургический завод""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,156999.68
2025-01-31 13:56:00.000,ЗМЗ ООО,Договор №АТП-П 313/19 от 30.12.19г.,"Реализация (акт, накладная, УПД) 00БП-000059 от 31.01.2025 13:56:52","06 АО ""Златоустовский электрометаллургический завод""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,96936.45
2025-01-31 13:56:00.000,ЗМЗ ООО,Договор №АТП-П 313/19 от 30.12.19г.,"Реализация (акт, накладная, УПД) 00БП-000059 от 31.01.2025 13:56:52","06 АО ""Златоустовский электрометаллургический завод""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,7461
2025-01-31 13:56:00.000,ЗМЗ ООО,Договор №АТП-П 313/19 от 30.12.19г.,"Реализация (акт, накладная, УПД) 00БП-000059 от 31.01.2025 13:56:52","06 АО ""Златоустовский электрометаллургический завод""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,55575
2025-01-31 13:56:00.000,ЗМЗ ООО,Договор №АТП-П 313/19 от 30.12.19г.,"Реализация (акт, накладная, УПД) 00БП-000059 от 31.01.2025 13:56:52","06 АО ""Златоустовский электрометаллургический завод""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,30641.6
2025-01-31 13:56:00.000,ЗМЗ ООО,Договор №АТП-П 313/19 от 30.12.19г.,"Реализация (акт, накладная, УПД) 00БП-000059 от 31.01.2025 13:56:52","06 АО ""Златоустовский электрометаллургический завод""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,61135.5
2025-01-31 13:56:00.000,ЗМЗ ООО,Договор №АТП-П 313/19 от 30.12.19г.,"Реализация (акт, накладная, УПД) 00БП-000059 от 31.01.2025 13:56:52","06 АО ""Златоустовский электрометаллургический завод""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,241085.48
2025-01-31 13:56:00.000,АМР АО,Договор №АТП-П 150/15 от 25.05.15г.,"Реализация (акт, накладная, УПД) 00БП-000042 от 31.01.2025 13:56:35","08 АО ""Алюминий Металлург Рус""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,80152.98
2025-01-31 13:56:00.000,АМР АО,Договор №АТП-П 150/15 от 25.05.15г.,"Реализация (акт, накладная, УПД) 00БП-000042 от 31.01.2025 13:56:35","08 АО ""Алюминий Металлург Рус""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,458228.1
2025-01-31 13:56:00.000,АМР АО,Договор №АТП-П 150/15 от 25.05.15г.,"Реализация (акт, накладная, УПД) 00БП-000042 от 31.01.2025 13:56:35","08 АО ""Алюминий Металлург Рус""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,98091.39
2025-01-31 13:56:00.000,АМР АО,Договор №АТП-П 150/15 от 25.05.15г.,"Реализация (акт, накладная, УПД) 00БП-000042 от 31.01.2025 13:56:35","08 АО ""Алюминий Металлург Рус""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,5273.9
